Ticker,Description,Change,Change %,Last,1-Month High,3-Month High,52 Week High,All Time High,Rating,Volume,Market Capitalization,Sector
3A,THREE-A RESOURCES BHD,-0.015,-1.5625,0.945,1.07,1.07,1.07,1.888,Neutral,331300,470621943,Consumer Non-Durables
AASIA,ASTRAL ASIA BHD,0.005,4,0.13,0.135,0.135,0.165,0.367272,Buy,1039500,82497940,Miscellaneous
AAX,AIRASIA X BERHAD,-0.005,-5.88235294,0.08,0.095,0.095,0.12,1.029417,Sell,29347900,352592662,Transportation
ABLEGLOB,ABLE GLOBAL BERHAD,0,0,1.74,1.84,1.84,2.08,2.08,Buy,574400,535159231,Process Industries
ABLEGRP,ABLEGROUP BERHAD,0,0,0.12,0.14,0.145,0.3,2.013264,Sell,273200,31667980,Non-Energy Minerals
ABMB,ALLIANCE BANK MALAYSIA BERHAD,0,0,2.57,2.62,2.62,3.06,5.77,Buy,2443500,3978632206,Finance
ACME,ACME HOLDINGS BERHAD,-0.005,-2.22222222,0.22,0.265,0.3,0.755,2.58,Strong Sell,519700,67267239,Finance
ACO,ACO GROUP BERHAD,0.015,5.17241379,0.305,0.325,0.325,0.44,0.715,Strong Buy,7318500,100133515,Distribution Services
ADVCON,ADVANCECON HOLDINGS BERHAD,0.005,1.53846154,0.33,0.355,0.36,0.475,1.21,Sell,112600,132090298.00000000,Industrial Services
ADVENTA,ADVENTA BHD,-0.02,-1.7699115,1.11,1.52,2.23,3.07,5.18,Sell,2787700,172647933,Health Technology
ADVPKG,ADVANCED PACKAGING TECHNOLOGY,0,0,2.64,2.8,3.1,3.1,3.591075,Sell,0,50456296,Process Industries
AEM,AE MULTI HOLDINGS BHD,-0.005,-11.11111111,0.04,0.05,0.065758,0.220757,2.292119,Strong Sell,862100,97357680,Electronic Technology
AEMULUS,AEMULUS HOLDINGS BERHAD,-0.02,-1.85185185,1.06,1.15,1.21,1.21,1.21,Buy,2942600,655329906,Electronic Technology
AEON,AEON CO. (M) BHD,0.01,0.67114094,1.5,1.56,1.57,1.57,4.33,Buy,1293300,2091960013,Retail Trade
AEONCR,AEON CREDIT SERVICE (M) BHD,0.82,6.36645963,13.7,13.7,13.7,13.7,17.360001,Strong Buy,524600,3288363121,Finance
AFFIN,AFFIN BANK BERHAD,-0.01,-0.58823529,1.69,1.76,1.76,2.04,4.310002,Strong Sell,537100,3610906351,Finance
AFUJIYA,ABM FUJIYA BERHAD,0.015,3.57142857,0.435,0.455,0.555,0.59,0.74,Sell,100200,75599998,Consumer Durables
AGES,AGESON BERHAD,-0.005,-6.25,0.075,0.1,0.105,0.155,1.7,Sell,2036900,103890886,Industrial Services
AHB,AHB HOLDINGS BHD,-0.005,-4.34782609,0.11,0.135,0.14,0.265,0.882308,Strong Sell,529900,29935145,Consumer Durables
AHEALTH,APEX HEALTHCARE BHD,0,0,2.79,3.01,3.18,3.81,4.55,Sell,20200,1328540459,Distribution Services
AIM,ADVANCE INFORMATION MARKETING,-0.01,-4.65116279,0.205,0.31,0.88,0.88,0.88,Strong Sell,64835700,52023157,Technology Services
AIMFLEX,AIMFLEX BERHAD,-0.02,-13.33333333,0.13,0.175,0.2,0.335,0.335,Strong Sell,46821200,183618190,Technology Services
AIRASIA,AIRASIA GROUP BERHAD,-0.01,-0.88495575,1.12,1.16,1.16,1.27,4.75,Buy,59014800,4404799847,Transportation
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD,-0.14,-2.00860832,6.83,7.05,7.05,7.05,9.98,Buy,1034800,11564567097,Transportation
AJI,AJINOMOTO (M) BHD,0.26,1.64141414,16.1,16.6,16.6,16.6,26.48,Buy,20100,963048794,Consumer Non-Durables
AJIYA,AJIYA BHD,0,0,0.565,0.675,0.675,0.8,1.3541704,Sell,0,164826818,Producer Manufacturing
ALAM,ALAM MARITIM RESOURCES BHD,-0.005,-7.69230769,0.06,0.07,0.075,0.11,1.906676,Strong Sell,24953100,93202348,Industrial Services
ALAQAR,AL-AQAR HEALTHCARE REIT,-0.01,-0.83333333,1.19,1.27,1.28,1.37,1.74,Sell,63800,883182091,Finance
ALCOM,ALCOM GROUP BERHAD,0.025,3.125,0.825,1.04,1.04,1.26,2.32,Neutral,339100,107464674,Non-Energy Minerals
ALLIANZ,ALLIANZ MALAYSIA BHD,0.02,0.15649452,12.8,13.12,13.5,15.38,17.02,Buy,53000,2268564227,Miscellaneous
ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,-0.02,-3.80952381,0.505,0.535,0.57,0.65,1.13,Sell,12900,304499986,Finance
AMBANK,AMMB HOLDINGS BHD,-0.04,-1.26182965,3.13,3.35,3.35,3.79,8.12,Sell,1190600,10488883250,Finance
AME,AME ELITE CONSORTIUM BERHAD,0.01,0.62893082,1.6,1.779998,1.893331,1.893331,1.893331,Sell,308700,1018669391,Consumer Durables
AMEDIA,ASIA MEDIA GROUP BERHAD,0.005,4,0.13,0.13,0.145,0.205,2.457665,Buy,1535500,29932928,Commercial Services
AMFIRST,AMFIRST REITS,0,0,0.395,0.405,0.405,0.445,1.14,Sell,10000,271128644,Finance
AMLEX,AMLEX HOLDINGS BERHAD,0,0,0.225,0.225,0.225,0.225,0.225,Buy,0,60325445,Electronic Technology
AMPROP,AMCORP PROPERTIES BERHAD,0,0,0.885,0.89,0.92,0.92,9.15,Neutral,45700,1139231362,Industrial Services
AMTEL,AMTEL HOLDINGS BHD,-0.01,-1.29032258,0.765,0.935,0.935,2.93333,2.93333,Sell,305000,75604425,Technology Services
AMWAY,AMWAY (M) HOLDINGS BHD,-0.01,-0.18382353,5.43,5.72,5.75,5.98,12.7,Sell,6000,894257866,Retail Trade
ANALABS,ANALABS RESOURCES BHD,-0.01,-0.84745763,1.17,1.36,1.36,1.36,1.42,Sell,28500,128542008.00000000,Miscellaneous
