NO,NAME,CODE,LAST DONE,VOL ('00),STOCK
1,3A,0012,0.94,"6,945",0012.KL
2,AASIA,7054,0.12,303,7054.KL
3,AAX,5238,0.08,"19,303",5238.KL
4,ABLEGLOB,7167,1.76,"26,551",7167.KL
5,ABLEGRP,7086,0.12,"2,975",7086.KL
6,ACME,7131,0.225,"2,715",7131.KL
7,ACO,218,0.28,"20,947",0218.KL
8,ADVCON,5281,0.325,"4,294",5281.KL
9,ADVENTA,7191,1.15,"19,259",7191.KL
10,ADVPKG,9148,2.64,38,9148.KL
11,AEM,7146,0.045,"26,226",7146.KL
12,AEMULUS,181,1.06,"28,905",0181.KL
13,AEON,6599,1.46,"21,618",6599.KL
14,AFUJIYA,5198,0.42,311,5198.KL
15,AGES,7145,0.08,"2,374",7145.KL
16,AHB,7315,0.115,"10,809",7315.KL
17,AHEALTH,7090,2.81,115,7090.KL
18,AIMFLEX,209,0.155,"55,270",0209.KL
19,AIRASIA,5099,1.01,"246,109",5099.KL
20,AJI,2658,15.88,64,2658.KL
21,AJIYA,7609,0.56,257,7609.KL
22,ALAM,5115,0.06,"216,004",5115.KL
23,ALAQAR,5116,1.2,824,5116.KL
24,ALSREIT,5269,0.525,20,5269.KL
25,AME,5293,1.51,"24,943",5293.KL
26,AMEDIA,159,0.115,"15,950",0159.KL
27,AMLEX,3011,-,-,3011.KL
28,AMPROP,1007,0.885,651,1007.KL
29,AMTEL,7031,0.775,"7,642",7031.KL
30,AMWAY,6351,5.42,108,6351.KL
31,ANCOM,4758,2.3,"49,917",4758.KL
32,ANCOMLB,0048,0.305,"65,615",0048.KL
33,ANEKA,226,0.25,"1,798",0226.KL
34,ANNJOO,6556,2.35,"29,336",6556.KL
35,ANNUM,5082,0.91,160,5082.KL
36,ANZO,9342,0.045,"8,534",9342.KL
37,APB,5568,0.68,"1,249",5568.KL
38,APM,5015,2.18,50,5015.KL
39,APOLLO,6432,4.03,405,6432.KL
40,APPASIA,119,0.135,"9,216",0119.KL
41,ARANK,7214,0.61,"4,133",7214.KL
42,ARBB,7181,0.255,"18,442",7181.KL
43,ARK,7007,0.445,206,7007.KL
44,ARTRONIQ,0038,0.29,"2,159",0038.KL
45,ASB,1481,0.13,"33,768",1481.KL
46,ASDION,0068,0.25,"75,123",0068.KL
47,ASIABRN,7722,-,-,7722.KL
48,ASIAFLE,7129,2.44,87,7129.KL
49,ASIAPAC,4057,0.135,"4,126",4057.KL
50,ASIAPLY,0105,0.17,"59,727",0105.KL
51,ASTINO,7162,0.645,"32,439",7162.KL
52,AT,0072,0.06,"30,900",0072.KL
53,ATAIMS,8176,2.6,"4,074",8176.KL
54,ATTA,7099,0.45,"1,273",7099.KL
55,AURORA,3037,-,-,3037.KL
56,AVI,8885,0.125,"282,993",8885.KL
57,AWANTEC,5204,0.765,"52,328",5204.KL
58,AWC,7579,0.52,"8,178",7579.KL
59,AXIATA,6888,3.88,"39,875",6888.KL
60,AXREIT,5106,1.89,"6,130",5106.KL
61,AXTERIA,7120,0.24,"22,544",7120.KL
62,AYER,2305,5.8,8,2305.KL
63,AYS,5021,0.69,"51,580",5021.KL
64,AZRB,7078,0.25,"2,404",7078.KL
65,BABA,3012,-,-,3012.KL
66,BAHVEST,0098,0.52,"45,040",0098.KL
67,BARAKAH,7251,0.08,"85,131",7251.KL
68,BAUTO,5248,1.55,"29,261",5248.KL
69,BCB,6602,-,-,6602.KL
70,BCMALL,187,0.055,"21,369",0187.KL
71,BDB,6173,0.465,"4,279",6173.KL
72,BERTAM,9814,0.1,"1,514",9814.KL
73,BHIC,8133,-,-,8133.KL
74,BIG,7005,1.13,"60,198",7005.KL
75,BIMB,5258,-,-,5258.KL
76,BINACOM,195,0.39,"223,300",0195.KL
77,BINTAI,6998,0.605,"509,901",6998.KL
78,BIOHLDG,179,0.215,"22,200",0179.KL
79,BIPORT,5032,4.38,20,5032.KL
80,BJFOOD,5196,2,339,5196.KL
81,BKAWAN,1899,20.8,63,1899.KL
82,BLDPLNT,5069,8.9,20,5069.KL
83,BOILERM,168,1.02,"4,424",0168.KL
84,BONIA,9288,0.845,221,9288.KL
85,BORNOIL,7036,0.03,"24,074",7036.KL
86,BPLANT,5254,0.615,"14,463",5254.KL
87,BPPLAS,5100,2.76,"99,832",5100.KL
88,BPURI,5932,0.05,"534,890",5932.KL
89,BRAHIMS,9474,0.355,"56,215",9474.KL
90,BREM,8761,0.75,20,8761.KL
91,BSLCORP,7221,1.92,"8,152",7221.KL
92,BSTEAD,2771,0.555,"27,812",2771.KL
93,BTECH,0011,0.43,335,0011.KL
94,BTM,7188,0.195,"2,268",7188.KL
95,BURSA,1818,7.34,"6,886",1818.KL
96,BVLH,3042,-,-,3042.KL
97,CAB,7174,0.46,"13,651",7174.KL
98,CABNET,191,0.29,"5,367",0191.KL
99,CAELY,7154,0.345,"10,961",7154.KL
100,CAMRES,7128,0.34,"3,951",7128.KL
101,CAREPLS,163,1.21,"47,547",0163.KL
102,CARIMIN,5257,0.615,"21,308",5257.KL
103,CBIP,7076,1.27,536,7076.KL
104,CCB,2925,-,-,2925.KL
105,CCK,7035,0.57,"4,129",7035.KL
106,CEKD,238,0.515,"57,209",0238.KL
107,CENSOF,5195,0.355,"51,475",5195.KL
108,CEPAT,8982,0.69,"1,956",8982.KL
109,CEPCO,8435,-,-,8435.KL
110,CETECH,3024,-,-,3024.KL
111,CFM,8044,0.825,"11,306",8044.KL
112,CGB,8052,1.17,"18,156",8052.KL
113,CHEETAH,7209,0.37,"16,206",7209.KL
114,CHGP,7187,0.8,"38,219",7187.KL
115,CHHB,5738,1.2,130,5738.KL
116,CHINHIN,5273,1.35,"22,048",5273.KL
117,CHINWEL,5007,-,-,5007.KL
118,CHOOBEE,5797,1.86,"6,463",5797.KL
119,CHUAN,7016,0.545,"4,424",7016.KL
120,CIHLDG,2828,3.78,991,2828.KL
121,CJCEN,7117,0.505,"18,136",7117.KL
122,CLOUD,3001,-,-,3001.KL
123,CME,7018,0.04,"63,106",7018.KL
124,CMSB,2852,1.21,"69,757",2852.KL
125,CNH,5104,0.085,"48,795",5104.KL
126,COCOLND,7205,1.92,846,7205.KL
127,COMFORT,2127,1.3,"17,531",2127.KL
128,COMPUGT,5037,0.015,"3,012",5037.KL
129,CRESBLD,8591,0.595,838,8591.KL
130,CRESNDO,6718,1.21,21,6718.KL
131,CRG,3016,-,-,3016.KL
132,CSCENIC,7202,0.695,"12,317",7202.KL
133,CSCSTEL,5094,1.27,"10,925",5094.KL
134,CTIB,3035,-,-,3035.KL
135,CTOS,5301,1.92,"429,192",5301.KL
136,CUSCAPI,0051,0.22,"28,140",0051.KL
137,CVIEW,5049,-,-,5049.KL
138,CWG,9423,0.42,"11,952",9423.KL
139,CYL,7157,0.475,252,7157.KL
140,CYPARK,5184,0.95,"13,113",5184.KL
141,D&O,7204,5.66,"20,218",7204.KL
142,DAIBOCI,8125,2.75,"10,073",8125.KL
143,DANCO,5276,0.615,"4,965",5276.KL
144,DATAPRP,8338,1.06,"152,953",8338.KL
145,DAYANG,5141,0.945,"42,854",5141.KL
146,DBHD,3484,0.495,"39,269",3484.KL
147,DELEUM,5132,0.535,842,5132.KL
148,DESTINI,7212,0.27,"737,313",7212.KL
149,DFCITY,5165,0.49,71,5165.KL
150,DGB,152,0.04,"29,080",0152.KL
151,DIALOG,7277,2.32,"74,459",7277.KL
152,DIGI,6947,4.4,"39,144",6947.KL
153,DKLS,7528,-,-,7528.KL
154,DKSH,5908,5.05,"5,268",5908.KL
155,DLADY,3026,32.58,62,3026.KL
156,DNEX,4456,0.755,"828,688",4456.KL
157,DNONCE,7114,0.385,"32,816",7114.KL
158,DOLPHIN,5265,0.085,"43,250",5265.KL
159,DOMINAN,7169,0.86,142,7169.KL
160,DPHARMA,7148,1.79,"6,704",7148.KL
161,DPS,7198,0.12,"45,683",7198.KL
162,DRBHCOM,1619,1.58,"30,329",1619.KL
163,DSONIC,5216,0.49,"67,212",5216.KL
164,DUFU,7233,4.14,"8,113",7233.KL
165,DYNACIA,5178,0.1,"21,896",5178.KL
166,E&O,3417,0.615,"1,793",3417.KL
167,EASTLND,2097,0.11,"9,842",2097.KL
168,EATECH,5259,0.125,"4,625",5259.KL
169,ECOFIRS,3557,0.41,"39,272",3557.KL
