NO,NAME,CODE,LAST DONE,VOL ('00)
1,3A ,12,0.92,"6,539"
2,AASIA ,7054,0.13,"3,999"
3,AAX ,5238,0.08,"137,028"
4,ABLEGLOB ,7167,1.66,"13,800"
5,ABLEGRP ,7086,0.135,"9,258"
6,ACME ,7131,0.255,"2,999"
7,ACO ,218,0.285,"12,885"
8,ADVCON ,5281,0.34,"1,150"
9,ADVENTA ,7191,1.34,"34,676"
10,AEM ,7146,0.045,"61,447"
11,AEMULUS ,181,0.985,"41,172"
12,AEON ,6599,1.5,"35,825"
13,AGES ,7145,0.09,"328,338"
14,AHB ,7315,0.13,"26,135"
15,AHEALTH ,7090,2.9,811
16,AIMFLEX ,209,0.17,"142,103"
17,AIRASIA ,5099,0.915,"169,593"
18,AJIYA ,7609,0.625,"3,232"
19,ALAM ,5115,0.065,"6,486"
20,ALAQAR ,5116,1.25,625
21,ALSREIT ,5269,0.51,"3,229"
22,AME ,5293,2.53,"7,099"
23,AMEDIA ,159,0.11,"12,020"
24,AMPROP ,1007,0.885,"2,363"
25,AMTEL ,7031,0.755,"3,655"
26,ANCOM ,4758,1.51,"1,711"
27,ANCOMLB ,48,0.285,"9,034"
28,ANEKA ,226,0.26,"2,073"
29,ANNJOO ,6556,2.88,"34,232"
30,ANZO ,9342,0.045,"10,265"
31,APB ,5568,0.685,"1,190"
32,APM ,5015,2.15,504
33,APPASIA ,119,0.15,"12,883"
34,ARANK ,7214,0.67,"9,401"
35,ARBB ,7181,0.275,"13,232"
36,ARK ,7007,0.45,"2,483"
37,ARTRONIQ ,38,0.345,"14,939"
38,ASB ,1481,0.14,"91,273"
39,ASDION ,68,0.215,"55,143"
40,ASIABRN ,7722,0.585,701
41,ASIAFLE ,7129,2.62,"1,442"
42,ASIAPAC ,4057,0.15,"16,988"
43,ASIAPLY ,105,0.225,"102,269"
44,ASTINO ,7162,0.73,"16,429"
45,AT ,72,0.055,"443,204"
46,ATAIMS ,8176,2.64,"4,914"
47,ATTA ,7099,0.53,"10,605"
48,AVI ,8885,0.135,"176,967"
49,AWANTEC ,5204,0.85,"126,690"
50,AWC ,7579,0.54,"5,822"
51,AXIATA ,6888,4.09,"18,862"
52,AXREIT ,5106,1.94,"18,052"
53,AXTERIA ,7120,0.245,"9,412"
54,AYS ,5021,0.7,"435,575"
55,AZRB ,7078,0.26,"3,172"
56,BAHVEST ,98,0.49,"10,204"
57,BARAKAH ,7251,0.07,"7,871"
58,BAUTO ,5248,1.56,"17,875"
59,BCB ,6602,0.275,"1,074"
60,BCMALL ,187,0.06,"35,148"
61,BIG ,7005,1.52,"41,655"
62,BIMB ,5258,3.97,"6,906"
63,BINACOM ,195,0.34,"2,259"
64,BINTAI ,6998,0.485,"208,602"
65,BIOHLDG ,179,0.225,"69,374"
66,BJFOOD ,5196,2,"2,964"
67,BOILERM ,168,1.1,"62,664"
68,BORNOIL ,7036,0.03,"554,686"
69,BPLANT ,5254,0.61,"177,668"
70,BPPLAS ,5100,2.48,"14,610"
71,BPURI ,5932,0.055,"112,664"
72,BRAHIMS ,9474,0.27,"1,550"
73,BSLCORP ,7221,1.47,"21,619"
74,BSTEAD ,2771,0.595,"19,754"
