NO,NAME,CODE,LAST DONE,VOL ('00),CODE2
260,SCOMNET,0001,1.65,"5,405",0001.KL
305,UCREST,0005,0.265,"87,162",0005.KL
138,IRIS,0010,0.225,"11,875",0010.KL
222,PARLO,0022,0.22,"15,581",0022.KL
132,IFCAMSC,0023,0.32,"2,105",0023.KL
140,JAG,0024,0.335,"36,289",0024.KL
327,YBS,0025,0.365,"33,749",0025.KL
261,SCOPE,0028,0.31,"78,648",0028.KL
211,OPCOM,0035,0.765,"105,943",0035.KL
212,OPENSYS,0040,0.42,"14,009",0040.KL
208,OCNCASH,0049,0.435,"1,124",0049.KL
287,SYSTECH,0050,0.225,"30,290",0050.KL
151,KARYON,0054,0.28,"44,092",0054.KL
266,SERSOL,0055,0.405,"23,768",0055.KL
201,NCT,0056,0.525,"11,425",0056.KL
312,VINVEST,0069,0.405,"43,164",0069.KL
176,LYC,0075,0.26,"8,673",0075.KL
204,NOTION,0083,0.58,"2,294",0083.KL
328,YGL,0086,0.205,"3,165",0086.KL
296,TEXCYCL,0089,0.415,"1,840",0089.KL
276,SOLUTN,0093,0.655,"11,114",0093.KL
246,REXIT,0106,0.93,"1,555",0106.KL
148,K1,0111,0.25,"3,614",0111.KL
187,MIKROMB,0112,0.215,"3,610",0112.KL
191,MMSV,0113,1.11,"17,779",0113.KL
313,VIS,0120,0.995,"5,806",0120.KL
145,JHM,0127,1.99,"32,244",0127.KL
199,MYEG,0138,0.915,"55,163",0138.KL
144,JFTECH,0146,1.38,"8,991",0146.KL
282,SUNZEN,0148,0.22,"7,744",0148.KL
155,KGB,0151,1.75,"107,456",0151.KL
193,MPAY,0156,0.25,"18,738",0156.KL
320,WIDAD,0162,0.37,"49,810",0162.KL
181,MCLEAN,0167,0.375,"3,800",0167.KL
207,OCK,0172,0.465,"5,795",0172.KL
116,HHGROUP,0175,0.535,"6,602",0175.KL
161,KRONO,0176,0.62,"23,647",0176.KL
263,SEDANIA,0178,0.65,"53,122",0178.KL
172,LKL,0182,0.205,"80,867",0182.KL
254,SALUTE,0183,0.615,"11,265",0183.KL
125,HSSEB,0185,0.535,"1,624",0185.KL
237,PTRANS,0186,0.66,"31,557",0186.KL
120,HLT,0188,0.57,"34,218",0188.KL
149,KAB,0193,0.37,"31,231",0193.KL
241,QES,0196,0.745,"50,563",0196.KL
318,WEGMANS,0197,0.26,"1,619",0197.KL
301,TRIMODE,0199,0.67,970,0199.KL
244,REVENUE,0200,1.87,"3,068",0200.KL
248,RGTECH,0202,0.34,"1,848",0202.KL
185,MESTRON,0207,0.32,"24,231",0207.KL
156,KHJB,0210,0.255,"12,032",0210.KL
292,TASHIN,0211,0.555,"6,532",0211.KL
